0	0.3	0.5	0.8	1.2	2	3	4	6	10	14	25	40	60	100	140	250	400	600	1000	1400
3	0.4	0.6	1	1.5	2.5	4	5	8	12	18	30	48	75	120	180	300	480	750	1200	1800
6	0.4	0.6	1	1.5	2.5	4	6	9	15	22	36	58	90	150	220	360	580	900	1500	2200
10	0.5	0.8	1.2	2	3	5	8	11	18	27	43	70	110	180	270	430	700	1100	1800	2700
18	0.6	1	1.5	2.5	4	6	9	13	21	33	52	84	130	210	330	520	840	1300	2100	3300
30	0.6	1	1.5	2.5	4	7	11	16	25	39	62	100	160	250	390	620	1000	1600	2500	3900
50	0.8	1.2	2	3	5	8	13	19	30	46	74	120	190	300	460	740	1200	1900	3000	4600
80	1	1.5	2.5	4	6	10	15	22	35	54	87	140	220	350	540	870	1400	2200	3500	5400
120	1.2	2	3.5	5	8	12	18	25	40	63	100	160	250	400	630	1000	1600	2500	4000	6300
180	2	3	4.5	7	10	14	20	29	46	72	115	185	290	460	720	1150	1850	2900	4600	7200
250	2.5	4	6	8	12	16	23	32	52	81	130	210	320	520	810	1300	2100	3200	5200	8100
315	3	5	7	9	13	18	25	36	57	89	140	230	360	570	890	1400	2300	3600	5700	8900
400	4	6	8	10	15	20	27	40	63	97	155	250	400	630	970	1550	2500	4000	6300	9700
500	4.5	6	9	11	16	22	30	44	70	110	175	280	440	700	1100	1750	2800	4400	7000	11000
630	5	7	10	13	18	25	35	50	80	125	200	320	500	800	1250	2000	3200	5000	8000	12500
800	5.5	8	11	15	21	29	40	56	90	140	230	360	560	900	1400	2300	3600	5600	9000	14000
1000	6.5	9	13	18	24	34	46	66	105	165	260	420	660	1050	1650	2600	4200	6600	10500	16500
1250	8	11	15	21	29	40	54	78	125	195	310	500	780	1250	1950	3100	5000	7800	12500	19500
1600	9	13	18	25	35	48	65	92	150	230	370	600	920	1500	2300	3700	6000	9200	15000	23000
2000	11	15	22	30	41	57	77	110	175	280	440	700	1100	1750	2800	4400	7000	11000	17500	28000
2500	13	18	26	36	50	69	93	135	210	330	540	860	1350	2100	3300	5400	8600	13500	21000	33000
0	270	140	60	-10	-14		-18		-20		-26	-32	-40	-60
3	270	140	70	-15	-19		-23		-28		-35	-42	-50	-80
6	280	150	80	-19	-23		-28		-34		-42	-52	-67	-97
10	290	150	95	-23	-28		-33		-40		-50	-64	-90	-130
14	290	150	95	-23	-28		-33	-39	-45		-60	-77	-108	-150
18	300	160	110	-28	-35		-41	-47	-54	-63	-73	-98	-136	-188
24	300	160	110	-28	-35	-41	-48	-55	-64	-75	-88	-118	-160	-218
30	310	170	120	-34	-43	-48	-60	-68	-80	-94	-112	-148	-200	-274
40	320	180	130	-34	-43	-54	-70	-81	-97	-114	-136	-180	-242	-325
50	340	190	140	-41	-53	-66	-87	-102	-122	-144	-172	-226	-300	-405
65	360	200	150	-43	-59	-75	-102	-120	-146	-174	-210	-274	-360	-480
80	380	220	170	-51	-71	-91	-124	-146	-178	-214	-258	-335	-445	-585
100	410	240	180	-54	-79	-104	-144	-172	-210	-254	-310	-400	-525	-690
120	460	260	200	-63	-92	-122	-170	-202	-248	-300	-365	-470	-620	-800
140	520	280	210	-65	-100	-134	-190	-228	-280	-340	-415	-535	-700	-900
160	580	310	230	-68	-108	-146	-210	-252	-310	-380	-465	-600	-780	-1000
180	660	340	240	-77	-122	-166	-236	-284	-350	-425	-520	-670	-880	-1150
200	740	380	260	-80	-130	-180	-258	-310	-385	-470	-575	-740	-960	-1250
225	820	420	280	-81	-140	-196	-284	-340	-425	-520	-640	-820	-1050	-1350
250	920	480	300	-94	-158	-218	-315	-385	-475	-580	-710	-920	-1200	-1550
280	1050	540	330	-98	-170	-240	-350	-425	-525	-650	-790	-1000	-1300	-1700
315	1200	600	360	-108	-190	-268	-390	-475	-590	-730	-900	-1150	-1500	-1900
355	1350	680	400	-114	-208	-294	-435	-530	-660	-820	-1000	-1300	-1650	-2100
400	1500	760	440	-126	-232	-330	-490	-595	-740	-920	-1100	-1450	-1850	-2400
450	1650	840	480	-132	-252	-360	-540	-660	-820	-1000	-1250	-1600	-2100	-2600
500				-150	-280	-400	-600	-740
560				-155	-310	-450	-660	-820
630				-175	-340	-500	-740	-920
710				-185	-380	-560	-840	-1000
800				-210	-430	-620	-940	-1150
900				-220	-470	-680	-1050	-1300
1000				-250	-520	-780	-1150	-1450
1120				-260	-580	-840	-1300	-1600
1250				-300	-640	-960	-1450	-1800
1400				-330	-720	-1050	-1600	-2000
1600				-370	-820	-1200	-1850	-2300
1800				-400	-920	-1350	-2000	-2500
2000				-440	-1000	-1500	-2300	-2800
2240				-460	-1100	-1650	-2500	-3100
2500				-550	-1250	-1900	-2900	-3500
2800				-580	-1400	-2100	-3200	-3900
0	34	20	14	10	6	4	2	2	4	6	0	-2	-4	-6	0	0	0	0	0	0
3	46	30	20	14	10	6	4	5	6	10	-1	-4	-8	-12	1	1.5	1	3	4	6
6	56	40	25	18	13	8	5	5	8	12	-1	-6	-10	-15	1	1.5	2	3	6	7
10	70	50	32	23	16	10	6	6	10	15	-1	-7	-12	-18	1	2	3	3	7	9
18	85	65	40	28	20	12	7	8	12	20	-2	-8	-15	-22	1.5	2	3	4	8	12
30	100	80	50	35	25	15	9	10	14	24	-2	-9	-17	-26	1.5	3	4	5	9	14
50		100	60		30		10	13	18	28	-2	-11	-20	-32	2	3	5	6	11	16
80		120	72		36		12	16	22	34	-3	-13	-23	-37	2	4	5	7	13	19
120		145	85		43		14	18	26	41	-3	-15	-27	-43	3	4	6	7	15	23
180		170	100		50		15	22	30	47	-4	-17	-31	-50	3	4	6	9	17	26
250		190	110		56		17	25	36	55	-4	-20	-34	-56	4	4	7	9	20	29
315		210	125		62		18	29	39	60	-4	-21	-37	-62	4	5	7	11	21	32
400		230	135		68		20	33	43	66	-5	-23	-40	-68	5	5	7	13	23	34
500		260	145		76		22				0	-26	-44	-78
630		290	160		80		24				0	-30	-50	-88
800		320	170		86		26				0	-34	-56	-100
1000		350	195		98		28				0	-40	-66	-120
1250		390	220		110		30				0	-48	-78	-140
1600		430	240		120		32				0	-58	-92	-170
2000		480	260		130		34				0	-68	-110	-195
2500		520	290		145		38				0	-76	-135	-240
0	-270	-140	-60	10	14		18		20		26	32	40	60
3	-270	-140	-70	15	19		23		28		35	42	50	80
6	-280	-150	-80	19	23		28		34		42	52	67	97
10	-290	-150	-95	23	28		33		40		50	64	90	130
14	-290	-150	-95	23	28		33	39	45		60	77	108	150
18	-300	-160	-110	28	35		41	47	54	63	73	98	136	188
24	-300	-160	-110	28	35	41	48	55	64	75	88	118	160	218
30	-310	-170	-120	34	43	48	60	68	80	94	112	148	200	274
40	-320	-180	-130	34	43	54	70	81	97	114	136	180	242	325
50	-340	-190	-140	41	53	66	87	102	122	144	172	226	300	405
65	-360	-200	-150	43	59	75	102	120	146	174	210	274	360	480
80	-380	-220	-170	51	71	91	124	146	178	214	258	335	445	585
100	-410	-240	-180	54	79	104	144	172	210	254	310	400	525	690
120	-460	-260	-200	63	92	122	170	202	248	300	365	470	620	800
140	-520	-280	-210	65	100	134	190	228	280	340	415	535	700	900
160	-580	-310	-230	68	108	146	210	252	310	380	465	600	780	1000
180	-660	-340	-240	77	122	166	236	284	350	425	520	670	880	1150
200	-740	-380	-260	80	130	180	258	310	385	470	575	740	960	1250
225	-820	-420	-280	84	140	196	284	340	425	520	640	820	1050	1350
250	-920	-480	-300	94	158	218	315	385	475	580	710	920	1200	1550
280	-1050	-540	-330	98	170	240	350	425	525	650	790	1000	1300	1700
315	-1200	-600	-360	108	190	268	390	475	590	730	900	1150	1500	1900
355	-1350	-680	-400	114	208	294	435	530	660	820	1000	1300	1650	2100
400	-1500	-760	-440	126	232	330	490	595	740	920	1100	1450	1850	2400
450	-1650	-840	-480	132	252	360	540	660	820	1000	1250	1600	2100	2600
500				150	280	400	600	740
560				155	310	450	660	820
630				175	340	500	740	920
710				185	380	560	840	1000
800				210	430	620	940	1150
900				220	470	680	1050	1300
1000				250	520	780	1150	1450
1120				260	580	840	1300	1600
1250				300	640	960	1450	1800
1400				330	720	1050	1600	2000
1600				370	820	1200	1850	2300
1800				400	920	1350	2000	2500
2000				440	1000	1500	2300	2800
2240				460	1100	1650	2500	3100
2500				550	1250	1900	2900	3500
2800				580	1400	2100	3200	3900
0	-34	-20	-14	-10	-6	-4	-2	-2	-4	-6	0	2	4	6
3	-46	-30	-20	-14	-10	-6	-4	-2	-4		1	4	8	12
6	-56	-40	-25	-18	-13	-8	-5	-2	-5		1	6	10	15
10	-70	-50	-32	-23	-16	-10	-6	-3	-6		1	7	12	18
18	-85	-65	-40	-28	-20	-12	-7	-4	-8		2	8	15	22
30	-100	-80	-50	-35	-25	-15	-9	-5	-10		2	9	17	26
50		-100	-60		-30		-10	-7	-12		2	11	20	32
80		-120	-72		-36		-12	-9	-15		3	13	23	37
120		-145	-85		-43		-14	-11	-18		3	15	27	43
180		-170	-100		-50		-15	-13	-21		4	17	31	50
250		-190	-110		-56		-17	-16	-26		4	20	34	56
315		-210	-125		-62		-18	-18	-28		4	21	37	62
400		-230	-135		-68		-20	-20	-32		5	23	40	68
500		-260	-145		-76		-22				0	26	44	78
630		-290	-160		-80		-24				0	30	50	88
800		-320	-170		-86		-26				0	34	56	100
1000		-350	-195		-98		-28				0	40	66	120
1250		-390	-220		-110		-30				0	48	78	140
1600		-430	-240		-120		-32				0	58	92	170
2000		-480	-260		-130		-34				0	68	110	195
2500		-520	-290		-145		-38				0	76	135	240
0	-8	-7	-5	-4	-4	-2.5
18	-10	-8	-6	-5	-4	-2.5
30	-12	-12	-8	-6	-4	-2.5
50	-15	-12	-9	-7	-5	-4
80	-20	-15	-10	-8	-5	-5
120	-25	-18	-13	-10	-7	-7
180	-30	-22	-15	-12	-9	-8
250	-35	-25	-18
315	-40	-30	-23
400	-45	-35
500	-50	-40
630	-75
800	-100
1000	-120
1200	-160
1600	-200
0	-8	-7	-5	-4	-3	-2.5
18	-9	-8	-6	-5	-4	-4
30	-11	-9	-7	-6	-4	-4
50	-13	-11	-9	-7	-4	-4
80	-15	-13	-10	-8	-5	-5
120	-18	-15	-11	-9	-5	-5
150	-25	-18	-13	-10	-7	-7
180	-30	-20	-15	-11	-8	-8
250	-35	-25	-18	-13	-10	-8
315	-40	-28	-20	-15	-12	-10
400	-45	-33	-23
500	-50	-38	-28
630	-75	-45	-35
800	-100	-60
1000	-125
1250	-160
1600	-200
2000	-250
